i,x,y,radius,DifPointsPercent,PixelsWithin,Mean_ndvi,Std_ndvi,Mean_savi,Std_savi,Mean_amplitude,Std_amplitude,Mode_lulc
2,7512,1564,25,96.6412213740458,365,0.7385750478821167,0.06296547742603503,0.4938729231068014,0.06298352594712502,0.27699240653496116,0.05697338990606482,39
26,5528,3538,25,95.72192513368984,311,0.7931802651282219,0.10269576252392026,0.5925741118992088,0.15148067604320506,0.4822163344366991,0.1398437098280386,39
11,6018,1170,25,95.80536912751678,299,0.7912433147690816,0.07219395714799728,0.5334039623948776,0.08085413096731524,0.35424054415661366,0.07990983583577065,41
12,6060,1130,25,96.29080118694363,390,0.8931116180265768,0.05241065637495321,0.72844496101154,0.06854002425343168,0.5635165779767155,0.06607282240714941,39
22,5170,1636,25,96.27329192546584,342,0.8835093092324693,0.05617183649181797,0.6713789863037511,0.06725769685163663,0.46679646902310373,0.07363991528336751,39
29,7238,1850,25,95.45454545454545,301,0.830264661876121,0.07303250412426501,0.5782502376718155,0.07572913866382389,0.42808139609972845,0.08315267955695849,39
17,7312,1570,23,96.61016949152543,292,0.6305063810201399,0.06303564389936732,0.36580629631580597,0.06773619877823807,0.21884186107671,0.06832957447482679,39
27,6638,2142,25,95.94843462246777,272,0.9072693857942516,0.028017519657011655,0.7411973612206427,0.0686834337149481,0.5712383225814074,0.08638513038781474,39
31,5234,2812,26,95.77464788732394,372,0.8760923521401102,0.05186271600519818,0.6964124766263095,0.08106668259133522,0.5628336898608933,0.08489629776080494,39
35,5526,4426,25,95.94155844155844,327,0.7296153354353132,0.05608287421713189,0.4540809459069662,0.06686234215013191,0.27553607113968603,0.0734659033110613,41
34,5508,3526,25,96.32107023411372,333,0.7668413180302928,0.08071308394398687,0.5255567679867675,0.09025397931926955,0.4304505850340196,0.08807458370599937,39
8,5152,2524,25,96.32721202003339,332,0.8719897203280864,0.03291635606284583,0.7082996951044257,0.0806867894139928,0.5565395326711248,0.08861522060404571,39
38,5654,5206,25,96.76923076923077,355,0.902280403594879,0.036875650305702175,0.721015060375017,0.08694419816881366,0.4917040119308111,0.09424000694006816,39
37,5604,4414,25,96.12903225806451,336,0.8594732852469578,0.03383773470728744,0.7016955398482077,0.09186299034537168,0.5367634508639978,0.0973873967351593,39
7,5140,1590,25,96.29080118694363,391,0.7919629743496056,0.09415121054410007,0.5638878274922186,0.10292022105137025,0.38386652881321087,0.09966817667247918,39
4,5308,4804,25,95.99358974358974,341,0.890124335487944,0.05953078272990968,0.7169722421766108,0.08349677296456934,0.5776221486432629,0.09225627075320375,39
25,5452,2640,25,96.13526570048309,334,0.8459099115060895,0.05446328443428192,0.6234683010608362,0.1037912659034384,0.461429167328937,0.10803617377383425,39
24,5350,4792,25,95.56650246305419,336,0.8587567631387981,0.056323308327860824,0.6701620364486,0.07593378756071152,0.5320141174716166,0.07302483034747234,39
36,5584,2490,25,96.05026929982047,308,0.8299097652360309,0.07263568043555906,0.6408689581329722,0.13308771583964937,0.4413781225316751,0.16499825657968623,39
28,6728,1666,25,96.19482496194826,356,0.8913883177954955,0.05124040307566669,0.6965639898484323,0.06461601391019536,0.5298492108215771,0.06056655914185766,39
10,5550,4972,25,95.8664546899841,347,0.8827147426147969,0.06255497372378614,0.6917623548384784,0.07822961713003776,0.5024724123049845,0.08025167030410969,39
19,4940,2630,25,95.2991452991453,201,0.7041775428113484,0.10967234925324196,0.4803424110809441,0.1058667829982209,0.25014913578828174,0.10317392995710904,39
3,5224,3934,25,95.8041958041958,272,0.836509222642414,0.1046995276006721,0.5750715346407193,0.08493346609305254,0.38691022518538865,0.10377759164300068,39
15,6770,1458,25,93.9203354297694,198,0.8371887957752923,0.07005012506879629,0.591457427537509,0.12074388290509748,0.41344238186882487,0.1531201659343476,39
9,5176,1610,25,96.29629629629629,365,0.8896006193156845,0.04398831784443593,0.6775360059378813,0.06041007233794247,0.4855949566347623,0.06841426536407205,39
16,7414,2418,25,94.71544715447155,242,0.8919707270312278,0.05699411247610714,0.7157803553975581,0.06924410163315826,0.555145496368252,0.07401068891314522,39
21,5168,2542,25,95.59082892416225,296,0.8635508971685091,0.04193167472359585,0.6762377590969589,0.09311240169625866,0.49067653308741754,0.16069753948470872,39
23,5246,3788,25,96.83453237410072,386,0.8036064644628552,0.05184755518013663,0.5791989813704009,0.050033694311982124,0.40516913227505846,0.048372262724646384,39
32,5230,4868,25,96.45061728395062,372,0.8542113564013393,0.04029663162627384,0.6260250531569898,0.05480603849014448,0.47641458287151583,0.09602509254660536,39
13,6552,1534,25,96.52777777777777,404,0.853078246390054,0.05682562312574919,0.6263735455006374,0.058579222882730764,0.45257945953107076,0.05645392821066886,39
6,6128,5096,26,96.14855570839065,432,0.8393937649165082,0.039957567364556884,0.5922072450214632,0.06987601761567946,0.3723878156419584,0.08320975320714614,41
33,5376,3210,25,96.00638977635782,337,0.730161043299812,0.19356370056704988,0.5232845168282445,0.1460146884615452,0.4059144254690854,0.13483553430693382,39
