i,x,y,radius,DifPointsPercent,PixelsWithin,Mean_ndvi,Std_ndvi,Mean_savi,Std_savi,Mean_amplitude,Std_amplitude,Mode_lulc
1,5878,5968,23,94.81865284974093,190,0.7703923293214133,0.09128110094112546,0.5182394883968221,0.06192785498323943,0.2820466124224213,0.07525012377237698,21
24,5626,7552,25,94.16243654822335,203,0.8055857700414145,0.06628137040436455,0.5373640267309427,0.05767409954874399,0.24725523399650504,0.06807284541082585,21
18,5734,6454,23,94.7242206235012,233,0.8175072165729439,0.06442810768083293,0.5661180033664324,0.06673948407981016,0.3024802613036478,0.09604297077795122,21
30,274,5636,21,93.03030303030303,142,0.86223957078679,0.10757017146518436,0.6058195812083416,0.08057280312160865,0.2213312034183607,0.06683193854025792,36
37,5860,6378,24,95.95141700404858,240,0.7774602947708348,0.08105708499568048,0.49428051247848537,0.06030740667027251,0.2134754301550702,0.06425799352116868,21
16,5662,7550,25,94.5,203,0.7997730919214876,0.07729805843103045,0.5290233817955665,0.0677560176037778,0.2590600390096271,0.08022820179478708,21
34,5884,5894,25,94.66666666666667,187,0.7680705957352307,0.08599570797870729,0.5145133176176451,0.07529755688866575,0.2682540763402256,0.07981523166735564,21
25,5648,7570,25,95.662100456621,247,0.780473412411241,0.06686846753126414,0.5197864663085338,0.05508148156900931,0.25236288377711635,0.06825212946732954,21
38,5752,6440,23,95.0,233,0.8069421752322273,0.055490241116118354,0.5496061822396647,0.05959034299325497,0.2901448538144105,0.08636462211960202,21
3,440,6212,18,89.32038834951456,64,0.8860211670398712,0.06597101246819986,0.7431187325986303,0.10040760540861332,0.6128597258691666,0.11961597402766833,39
26,5848,5946,25,94.9874686716792,206,0.7592881425154058,0.07774097120588448,0.49672208702319465,0.06410516505722359,0.25995555721864577,0.07840515169857293,21
20,6028,6306,25,95.53571428571429,318,0.821498082917348,0.053033411702531306,0.5575050002964056,0.06355624861365249,0.2989321063183551,0.08084940246372531,21
0,5822,7480,25,94.47236180904522,193,0.8290088093530772,0.06832403853850795,0.5864276831042772,0.06346817994588402,0.29045235966818467,0.06717765361673324,21
21,316,5654,23,93.75,130,0.8576836577335953,0.10219337925882153,0.6371522665114989,0.09435400078752809,0.2624973441715875,0.05599810515967813,36
29,6058,6150,23,94.37229437229438,224,0.7831606351405246,0.06734406036878442,0.5173951163925972,0.05960895129966356,0.25717298419788015,0.07109457626232349,21
32,6076,6184,23,95.2153110047847,198,0.7821659647281652,0.07922493634765529,0.5314711702532576,0.06941616855467563,0.2579266741332322,0.07772339377860123,21
12,5980,6342,25,95.95375722543352,272,0.8229614887345874,0.04841144010954554,0.5709890956803668,0.05709978731083244,0.3182191732748464,0.07986638236882737,21
8,6140,6260,23,95.28089887640449,210,0.8004510876233939,0.07287459161164221,0.5289770430414608,0.06184235109368164,0.24949940180425922,0.07131110651172923,21
28,6032,6290,23,95.0,229,0.8094461783956716,0.05988129366274421,0.5375054675453114,0.06028653540675542,0.2752691158404586,0.07869625647280976,21
2,5864,6006,25,95.11627906976744,189,0.8309480931989071,0.07267844686579852,0.5541791860429206,0.06696722454991469,0.31704207629863745,0.08672025304421728,21
15,5646,7530,25,94.73684210526316,205,0.7990624073188135,0.07272096823325891,0.5194309745333818,0.06595108896126795,0.2307787542392094,0.07582343772186616,21
36,5928,6314,25,95.93301435406698,245,0.8159358308480888,0.07235158247660879,0.5405788966769889,0.06608844744267146,0.2698636710669808,0.06855849530675782,21
22,5686,7566,23,93.86503067484662,140,0.8047108365254156,0.07643151601319453,0.5306048963916113,0.06463336193201134,0.26925357672433836,0.07442466272963305,21
4,5756,6420,25,95.74861367837339,263,0.8172921912802417,0.050386336097566264,0.5681127173091294,0.053520564766102924,0.30666344704951926,0.08139695740896699,21
31,5880,6024,23,94.5107398568019,187,0.8129561464437595,0.08137686819415284,0.5526658917707427,0.07472884607298967,0.30573088448914504,0.09001277389073331,21
10,5840,5972,25,96.41350210970464,252,0.776726122335244,0.09239685537490412,0.5223864518226417,0.07274584247867379,0.28623749067711485,0.08948650160479503,21
27,5804,7482,23,95.78947368421052,193,0.8184279385785069,0.06558051215528862,0.5746900048686314,0.07259871049318896,0.2879030744391762,0.0673264155041943,21
9,5776,7424,25,95.24940617577197,217,0.8128915878819191,0.06343506020769045,0.5559542694170957,0.06202765737653637,0.26232511818070453,0.08202196962327842,21
35,5896,6620,25,94.0809968847352,134,0.7240275819263067,0.10805020611550317,0.45449151738651355,0.08779475970593001,0.19638442021235986,0.08471630587086952,21
14,6132,6230,23,96.26373626373626,218,0.798645606808733,0.06468773520173626,0.5411987018670311,0.057069679068824826,0.26613006406083267,0.06654728151311062,21
7,5848,6056,25,95.78754578754578,301,0.7886243398635343,0.08309599543473606,0.5158184813250095,0.0605034609656813,0.24359178861424932,0.06921267554256084,21
6,5792,6408,25,95.85798816568047,266,0.8109388993707167,0.054627588193714306,0.554668516311233,0.06253877852424793,0.29918086455867193,0.06472200716027694,21
23,6112,6228,23,95.35353535353535,259,0.80223154444162,0.06581157760558728,0.5445617756548431,0.05224260304383828,0.2670827471346712,0.07451606826809146,21
17,6398,6968,25,93.50282485875707,159,0.8567880687624047,0.05502641480998611,0.594540847641977,0.06527690945961624,0.31856776988756297,0.07273161636387732,21
33,6102,6208,23,96.02510460251047,256,0.7877610623076642,0.06661684898263757,0.5344979529787179,0.05602785334371686,0.268204998986749,0.07271594068423848,21
5,5668,7576,25,95.53805774278216,196,0.7810042342435538,0.0723247723642967,0.5226813778574158,0.062133552612155814,0.26463980848427787,0.07644197806815772,21
19,6006,6854,25,94.48818897637796,179,0.8390215148489357,0.0653957646344101,0.5666892344954755,0.05424752209995899,0.31197113665158493,0.08225430273924692,21
11,5904,6302,25,94.2350332594235,220,0.783096455743918,0.08730872341162399,0.5135430567464541,0.06703957174179004,0.25808717388221925,0.07730219085785481,21
13,5756,7430,23,93.92265193370166,172,0.8268815588732267,0.05206994073084818,0.5640045624494188,0.055495522740941716,0.28281196700347316,0.07934185494734178,21
40,462,6184,17,91.9831223628692,91,0.8837372485096208,0.06991577318248646,0.6987850930809024,0.0904805059709674,0.5293280718942149,0.126982576249372,39
39,5810,7162,23,93.33333333333333,135,0.8352664877783578,0.04403115280396915,0.5644421700857416,0.05251763829701456,0.27006014978654647,0.0788185389209091,21
