i,x,y,radius,DifPointsPercent,PixelsWithin,Mean_ndvi,Std_ndvi,Mean_savi,Std_savi,Mean_amplitude,Std_amplitude,Mode_lulc
15,522,5838,25,95.46218487394958,315,0.8147477456944225,0.06742178707868506,0.5787237903315617,0.060977114428217176,0.3794374315889187,0.07393114554705697,39
25,606,4454,23,96.6728280961183,308,0.8587418743644303,0.06277848529686929,0.7052706522123355,0.09527024501324736,0.5369031278759409,0.09836040889482305,39
20,3748,4984,25,96.1977186311787,238,0.8133479507274636,0.0987504262609647,0.5905996084135138,0.11253862613571522,0.38611025904505053,0.15178190699117358,39
10,2548,6236,24,96.0431654676259,279,0.8087745145321567,0.047151107133083375,0.5840353421139751,0.07903380516211445,0.380073025042805,0.10876646170433835,39
38,3652,4868,21,95.56541019955654,225,0.8055600345459262,0.06294280516352323,0.5730762917275726,0.07323447505360102,0.3605430231300615,0.09682680088444946,39
11,5110,3456,24,95.54655870445345,246,0.8530640554619195,0.07476453369899597,0.6477248074872378,0.09208901572166112,0.4025327982921074,0.13085537894119387,39
27,2716,5346,23,96.16087751371116,269,0.8486513789973047,0.053304148481353356,0.6064883238621235,0.061347508676451834,0.43412844535041256,0.07531519945522669,39
23,3062,6902,24,95.67669172932331,269,0.83376734763145,0.06614362282731265,0.5940992910729327,0.08390599277669303,0.4062528873300676,0.09753960860715492,39
22,1100,6280,24,96.30818619582665,337,0.8179024753285039,0.05648305766317855,0.6108783797546694,0.059207747992404906,0.3968690883180321,0.0646044337077079,39
30,950,5644,25,96.01990049751244,337,0.8350042507553684,0.045697081657722786,0.6797084332345719,0.08252584280551249,0.45384239397256226,0.093571923455966,39
2,670,4488,25,96.32248939179632,396,0.8116216092012812,0.09730570689622402,0.5880008725007584,0.10312962893977314,0.4070455034313477,0.09872188428174244,39
17,1032,2242,25,95.69707401032703,303,0.8833369580925474,0.04996260804128819,0.7311230814316326,0.08907400639412859,0.491179232027865,0.12366549091635791,39
21,684,4466,24,96.5625,343,0.8004304836207772,0.10529080160662752,0.5855378460618529,0.1063112559861082,0.4106858169650312,0.0908235124056044,39
1,2698,6928,24,96.2910128388017,370,0.6926261327742743,0.06602192843152876,0.45058173160404597,0.055011597636412696,0.29221797586260173,0.05022935310864857,39
5,2062,6840,25,95.61551433389545,350,0.78718851249569,0.11093419755043549,0.5259923604298701,0.10484850820270675,0.36033976122417105,0.11243115785853505,39
32,3578,4868,25,97.05882352941177,393,0.6067573635950001,0.13321607763357624,0.4182536242869078,0.11464281162862179,0.22534296861143807,0.09929731964209366,39
9,3760,4942,25,96.01449275362319,251,0.7771654883655933,0.13223269096877008,0.5719107765006206,0.15096433002397183,0.3442542124075783,0.18889525322962852,39
0,3570,6570,25,95.41108986615679,258,0.7754820368861777,0.07673927133641636,0.5394977334286251,0.0772393085064687,0.3481797059064559,0.08671908653702533,39
29,592,5788,25,95.55555555555556,331,0.6997894448398658,0.0769850129208965,0.49095281768490934,0.07115515800409294,0.28825746091915144,0.057752104709514175,39
8,3970,5074,22,96.21342512908778,304,0.853981100708429,0.05150430303659419,0.68420411253268,0.07258301286773695,0.5246786943907453,0.07331482931139555,39
31,2036,6770,25,96.48798521256931,299,0.7668643458837919,0.13061578748291175,0.5132368406831775,0.10672450050673549,0.36433716141120376,0.14296017354418605,39
35,6246,6876,25,96.0,369,0.8758207664525159,0.05020785233327169,0.6801397260384249,0.06610425749271545,0.5261242270482686,0.06673090699950408,39
36,3676,4856,24,96.47239263803681,365,0.7614040597043809,0.09610936873235693,0.5612959777729964,0.10210891845131827,0.37533307639651003,0.09931920992340504,39
