i,x,y,radius,DifPointsPercent,PixelsWithin,Mean_ndvi,Std_ndvi,Mean_savi,Std_savi,Mean_amplitude,Std_amplitude,Mode_lulc
1,6512,3514,51,97.84946236559139,1228,0.3584422956027648,0.11242118519280124,0.2488653585086387,0.07370769645119604,0.11560331402057443,0.06763868576092691,41
2,5044,3884,48,98.49624060150376,1686,0.5015916048036858,0.1273300230322592,0.3233824571828465,0.07929893182370178,0.1773130455960735,0.06978884632947195,41
3,4684,2934,48,97.79151943462898,848,0.46522725978955254,0.16803597820402824,0.3165563199856693,0.11458630811607487,0.13546091291538237,0.07122595499907886,41
0,5962,2210,51,97.24454649827784,685,0.3008035939943372,0.10816438428878139,0.2037842114838613,0.06581400916084378,0.09228026177550176,0.06102428437968835,41
4,6650,4582,48,98.08027923211169,1239,0.4085710058267744,0.12843397625662742,0.2699642177569099,0.08074737276518029,0.13500553987602126,0.0763758008740144,41
5,5622,3760,47,98.37837837837837,1472,0.4892098179746704,0.11736500048202565,0.3106669128515396,0.057276781187482396,0.16965152087302698,0.051444209695329327,41
6,6344,5420,47,97.73976786805132,1139,0.47768458038469486,0.1356337302858142,0.29115369722098605,0.08203785390795215,0.1387410874857855,0.073740090041833,41
7,6470,5544,47,98.17351598173516,1419,0.5606906979404811,0.14286933343706743,0.34852119803032605,0.08902855100096493,0.19301419114254637,0.07258359767265013,41
8,6248,3732,47,98.16568047337279,1228,0.40613112414398067,0.1320725817747188,0.27226116917062043,0.08546531474446309,0.14462527821626378,0.08131354928914324,41
9,3608,1738,47,98.29683698296837,1482,0.48492388705676576,0.1182048770711458,0.32994608701859596,0.06488307133782037,0.18734982941237796,0.0617293553237266,41
10,4938,4624,46,98.12072892938497,1237,0.4520067018732422,0.11356346919303616,0.29970401973999045,0.0677515370998594,0.15486708698045623,0.061410458391616005,41
11,4780,2604,46,97.7348434377082,1096,0.5235338562093164,0.141234141698852,0.3374680531379437,0.07785678904373661,0.19007157185227896,0.061645575408163185,41
12,5984,5026,45,98.05919456574479,1465,0.5346131624965856,0.1361051830964008,0.33932258716003,0.08164812287663106,0.18052366614910137,0.07324369914543027,41
13,4604,1698,45,98.29633453794527,1462,0.41215811598130414,0.08484662699132152,0.26780221635913626,0.04518590070568808,0.14248756113238908,0.04985267843491645,41
14,1120,1682,45,97.78368794326241,815,0.4500476966710677,0.09491419103033964,0.31459418273337264,0.04954274095511891,0.14775882540987917,0.049271143459459925,21
15,5360,3236,45,97.79596977329975,1111,0.47041141021856253,0.11722023356914946,0.3001647766094438,0.07073960050148621,0.15447571654485806,0.06267801749818037,41
16,5640,4606,44,98.24107604759442,1427,0.5264051944624702,0.1481567377085502,0.3696782550204475,0.09320338473147163,0.22189207543404596,0.08591514087741955,41
17,2780,1250,41,97.70569620253164,862,0.4380816114800317,0.14629937064714388,0.2936254291503844,0.08980080514821012,0.1582922206168081,0.07179838306084213,41
18,5682,3398,41,97.7116704805492,961,0.38310291720941947,0.11118270447564085,0.26490423985251615,0.07058958232853126,0.13933721458609188,0.06547407331787865,41
19,5674,4008,40,98.24135839902972,1125,0.5042849567653906,0.12461756552403694,0.3400946520464453,0.09439519865066832,0.1985010114811125,0.09372443795905827,41
20,6334,5246,40,97.421875,908,0.5714994180849774,0.15946782337710802,0.35400410703134755,0.09934811750921861,0.18053595467660222,0.07270967793384671,41
21,7168,3156,40,97.19202898550725,798,0.3474508053047073,0.09930951092924216,0.2475592842343449,0.07213972900156308,0.11984175534740434,0.06768839290680123,41
23,5952,4052,39,97.82465392221489,1081,0.48922361658397134,0.13711024436787903,0.3249642411138911,0.08463301759036064,0.18022051330098543,0.07996473857173719,41
22,5336,3990,39,97.57887013939839,997,0.43507541531427485,0.11343985215438739,0.287644770926134,0.06841707182081158,0.14966092755066715,0.06261135858186094,41
25,6204,5052,39,98.01324503311258,1040,0.5026624546126254,0.1423160394057717,0.32288431339539453,0.08298398626450121,0.16188881800181965,0.07022467318862209,41
