i,x,y,radius,DifPointsPercent,PixelsWithin,Mean_ndvi,Std_ndvi,Mean_savi,Std_savi,Mean_amplitude,Std_amplitude,Mode_lulc
16,3584,1122,29,97.07724425887265,580,0.8893443596478264,0.04667810018254604,0.6386615535053799,0.04702683440960715,0.47549661370326346,0.056909603934569626,41
25,6730,3854,30,96.92144373673037,582,0.7638307843216857,0.08722253224460093,0.5235123473299965,0.09281694963666338,0.31886349651041385,0.09084409961172499,39
8,4422,1460,29,96.67519181585678,434,0.8493270802720314,0.0785788249957465,0.6393250270471379,0.11474793923615663,0.44347258268178047,0.12557973433604927,41
7,4372,578,29,96.58952496954933,480,0.8570596204763894,0.12140177664472292,0.6828579827186609,0.13151784789856774,0.4891962643609279,0.1340352205193388,39
9,4554,1552,29,97.00665188470066,553,0.888877793067036,0.059669143167410434,0.6457261753469685,0.07545501503745378,0.4859713560465153,0.07069299372516533,41
17,4236,1684,29,96.67458432304038,489,0.8346501811867116,0.06705268647675387,0.6053594374350809,0.09141736518571981,0.43764668977169224,0.11102119272603667,41
11,5946,2068,29,96.43765903307889,462,0.8290598910867011,0.12885222137928662,0.6124119666042804,0.13819148762028177,0.40662746630167884,0.13520510268030334,41
5,4260,1590,29,96.84848484848484,477,0.8373666859713843,0.07282328627423085,0.5913691441145232,0.08028031101262943,0.41068737186002396,0.1150797001283284,41
24,7736,2716,29,96.56652360515021,557,0.8773358995637985,0.05952021663939662,0.6563519476697232,0.08564303685667543,0.46038330044449666,0.10603278231958752,41
26,3124,540,29,97.22814498933901,555,0.828970252871712,0.0687031178577557,0.5252133559402089,0.061435259413629324,0.33601686913086865,0.07275078998157201,41
18,4368,864,29,97.07158351409979,558,0.852441021995678,0.05622381778180074,0.6048419274655392,0.0966337185564151,0.4648712270451579,0.09339940870800773,41
15,5488,2092,30,97.170837867247,558,0.8050235628561648,0.06201762450803847,0.5506556077644661,0.09378623848799882,0.3018516633379827,0.11879681479245373,41
20,4702,2538,29,97.1264367816092,500,0.6884216971879142,0.11580873504279528,0.4791359964513612,0.10222443228065634,0.29078825851656215,0.0922237014130068,39
1,3754,1616,29,96.85124864277958,560,0.8473737467714044,0.08579066269531924,0.6682364064941827,0.12511660809123226,0.44575047803761325,0.12102182288717522,39
14,4000,944,30,96.8384074941452,503,0.7516785023479159,0.10600787490540489,0.5031797168280113,0.1470314685171822,0.2448112843897752,0.19890979123349714,41
28,4442,1128,29,96.99157641395908,521,0.8980634699725596,0.05692843772826205,0.7146490591131933,0.08678720546765309,0.5305808903018202,0.1008440534464071,39
29,4678,2520,29,97.13216957605985,474,0.5363565766572536,0.18469899939960616,0.35109079143566835,0.1426672711502545,0.1865767045329799,0.1279863493888422,41
27,3942,1962,29,97.03075291622481,571,0.8095159852604071,0.051231889649094225,0.697371066061159,0.06661255189549306,0.48968039071311553,0.09384631537508656,41
13,8024,3704,29,97.05159705159706,478,0.7872874802933268,0.1400060569242928,0.5057602832972382,0.13089967527537547,0.33338773630681096,0.13028658220680409,41
12,6812,3336,29,96.50602409638554,477,0.815146038619465,0.13630414951186046,0.5682203336393846,0.12232683325299677,0.3964306702604595,0.13887259042012562,41
22,5512,2222,29,96.44902634593356,518,0.8524392808290053,0.07054064918724631,0.6238492862239197,0.11374461331086169,0.465319001885185,0.13143145971773817,41
4,3708,1584,29,96.98431845597105,442,0.8311756560678283,0.142544202074631,0.6400503665984919,0.1558533403056581,0.43227060557067354,0.13336522516698146,39
3,3428,502,29,96.96616102683781,517,0.769064686837414,0.08301421806940525,0.5371223777602093,0.10637339643890728,0.3118413294138252,0.12781910042408542,41
19,4580,2312,29,97.0828471411902,512,0.8476270814650358,0.09092773716090048,0.604837647684038,0.08197037382829503,0.40830370333968913,0.08888178151477383,41
2,4446,1490,29,97.27164887307237,541,0.8823254283608217,0.05961387066779839,0.6837402647314609,0.10740188608335093,0.4891977860048905,0.1222886727590052,39
6,2678,212,29,96.75,479,0.8083662591064045,0.09858622016507744,0.5657233217421828,0.10332754460123013,0.3559535526896053,0.13471955633475718,41
10,5494,2232,29,97.19827586206897,582,0.8946392547484439,0.0404169897187026,0.7081571630500468,0.07358254705025791,0.5369208043156287,0.07447322541030371,39
0,5304,1306,30,96.10778443113773,366,0.8448748481913214,0.13362560250452882,0.6256591112045214,0.16718836057336212,0.41050551022478454,0.16045866027157307,39
23,6450,2278,29,97.15157680569685,603,0.8757124323322153,0.05639350653466451,0.6428673175802552,0.07174060054836685,0.47356132486688024,0.07857259534685737,39
21,5188,712,29,96.6589861751152,542,0.8842193759404696,0.06403475538690935,0.662954672471125,0.08450352826003901,0.4819042231758246,0.09027695004773274,41
34,6738,3082,29,97.30290456431536,598,0.8487436522129813,0.04967770365557981,0.6180381703698528,0.07111362138706914,0.39958988403686085,0.09606387321964398,41
30,5370,2314,29,97.27463312368972,578,0.8817944691821521,0.055350547795778034,0.7106006995752151,0.08645989157639732,0.5442311974494944,0.1060143077643537,39
31,5884,2148,29,96.12299465240642,415,0.8664766517292456,0.06065744649963216,0.6312983970628584,0.09819273984613332,0.42239354029968157,0.13720561595093897,41
33,6418,2330,29,97.3630831643002,602,0.8890105629416157,0.05666452350768999,0.6192683061533314,0.05843313899070684,0.4454806336350379,0.06593569877740844,41
40,3698,1562,29,97.20534629404617,485,0.8203431581134597,0.14930885448021924,0.6377091699521988,0.17101267278330365,0.4208928204241932,0.15270670506003803,39
35,6934,2782,29,96.68304668304668,494,0.7557081273873496,0.155141549139315,0.555468019457004,0.17754910019558565,0.36718070950848364,0.16411589997152373,39
39,3612,668,29,97.05882352941177,420,0.8083624500823391,0.1452374801127457,0.5709454999015914,0.16680924210190332,0.3709243279864793,0.13903161641042797,41
36,7410,1566,29,96.94656488549619,570,0.8854477637531518,0.04714564432410629,0.6847837765150887,0.07924069502755307,0.44833656938939603,0.11866862050627419,39
41,4248,1710,29,97.27272727272727,529,0.8543350717021163,0.06917475465601687,0.6381693690548496,0.1031572274890615,0.4613569864866059,0.11544383967105154,41
38,2764,230,29,97.10982658959537,545,0.8314442017741429,0.06928531984816975,0.5818608819298678,0.09030507616855049,0.34737018659505936,0.15502162517090057,41
48,4838,2620,29,96.78492239467849,569,0.7737980786064235,0.1634783404030274,0.5772395210588268,0.1697453399440904,0.41279155862545897,0.16654489376913048,39
51,5474,2762,29,97.21293199554069,553,0.8477265247699619,0.07039298854949799,0.6586913143404719,0.1052398242715459,0.43415103518577547,0.11126324303161773,41
43,4438,1336,29,97.27965179542981,567,0.8410467237820033,0.06271869134421512,0.5889205039937827,0.08462192754107487,0.4141826548950945,0.09586364557018762,41
52,5494,2196,29,96.88940092165899,500,0.8547631227366331,0.08093275118518846,0.6473795602278724,0.12746651260212896,0.4784377884741665,0.11170152015138322,41
55,6506,2336,29,96.90501600853788,552,0.8655951366508774,0.07469847105976903,0.5898626074319043,0.0686191032726236,0.40201809610557016,0.08508960657751545,41
59,6752,2722,29,96.36963696369637,539,0.806866301631419,0.09948693651217062,0.5451749343448621,0.12250945539665851,0.37776922441768235,0.12340529873045535,41
42,4394,884,29,97.22792607802874,588,0.8378243852321087,0.051947480909313615,0.6125172219527478,0.07171580390919141,0.46841896611108497,0.0792260034918563,41
50,4894,674,29,97.25400457665904,534,0.9091152397246013,0.03269640411471834,0.7277537684953439,0.06394008128066798,0.5143163685389893,0.08689826439118957,39
54,6414,2568,29,96.71532846715328,466,0.7545392298323041,0.08456284150553534,0.4952471119782123,0.09075848383882196,0.2844951469930066,0.09324276530268623,41
