i,x,y,radius,DifPointsPercent,PixelsWithin,Mean_ndvi,Std_ndvi,Mean_savi,Std_savi,Mean_amplitude,Std_amplitude,Mode_lulc
21,2822,5002,23,95.51282051282051,235,0.6417225899591791,0.1642112879095371,0.4480837798586675,0.13525830643292194,0.271661750691117,0.12239938648719348,41
35,2432,4596,23,95.46436285097192,225,0.6017017927265849,0.15862312392378602,0.41727661619163303,0.1492155237481836,0.26999664748888247,0.15953545127897192,41
5,2308,4828,26,95.87955625990492,337,0.6156240716133126,0.13219174638586956,0.41628749141924437,0.13224527545868808,0.26413500553799607,0.1498379719931545,41
10,2922,4934,25,95.46313799621929,281,0.686595262164578,0.14396803402539118,0.47515845801982365,0.11407972518801336,0.23585582156403193,0.0965876173591889,41
36,2740,4578,23,96.12403100775194,277,0.6990085578979977,0.10481503215583252,0.49935355774910095,0.12338420827150816,0.31300181645875313,0.14804894994772372,41
19,2394,3656,25,95.78544061302682,277,0.5703665263374699,0.055274873329664596,0.36634859869760317,0.03298977824293667,0.13869638733855497,0.031103425204065765,21
32,2490,5252,25,96.30931458699473,304,0.5977830771941085,0.1387040670781871,0.3877114397943567,0.1174383959500921,0.2448758759148103,0.14972034745290186,41
27,1922,546,25,96.62618083670715,406,0.39307464204822995,0.11612983664523034,0.24749218146839533,0.07474734481431716,0.10308795726002434,0.0611469185688519,41
31,2414,5196,25,96.18573797678275,314,0.6765094145956702,0.12505193035655332,0.4517820548118072,0.11092733827307574,0.296949805463178,0.12319092752925576,41
13,1744,308,23,95.6594323873122,291,0.5059606206167845,0.10042359836860903,0.29700162420158543,0.05495757737303057,0.1342524958509441,0.03831265631785348,41
33,1778,308,23,96.7032967032967,317,0.4344804863094493,0.11953858292351727,0.2824172805776285,0.079697954965261,0.13111131530386158,0.06529289422211611,41
4,1762,174,25,96.22377622377623,393,0.5039427479368571,0.13001730557618618,0.30751360486745316,0.08172458336238224,0.14200206029331805,0.06517059339193973,41
6,1782,180,25,96.71232876712328,396,0.4761887048141255,0.12126111638314721,0.29775047519025766,0.07385131139744364,0.13852973482516615,0.05975639289053516,41
28,2002,420,25,96.46539027982327,352,0.4488227503132539,0.1561390453615304,0.29539749784376385,0.1018149232382823,0.16349572871594828,0.08052660542792145,41
22,2472,4442,17,94.18282548476455,162,0.7172220881213331,0.0568449981709428,0.49207579062722023,0.04289453977835081,0.3366840528348994,0.050305946952302436,41
14,2378,4110,23,96.26865671641791,282,0.6383239320882542,0.14164478305016526,0.42886312309726654,0.12360540395946368,0.24657555601917197,0.13541543474839884,41
1,2266,4758,25,96.21212121212122,308,0.5619247082454857,0.15024848913262304,0.3734657578796877,0.150316909199138,0.2574025266370486,0.1512364969439186,41
20,2124,300,23,96.01449275362319,277,0.4772137011696282,0.12960813756517955,0.27732329942525374,0.07256130059173833,0.15191142663952345,0.059290479487003854,41
18,2284,4096,25,96.11650485436893,344,0.5324424867021459,0.15713077563839936,0.3611792631938813,0.11279428173237897,0.22914608642328718,0.12979246309400846,41
12,1854,486,25,95.88477366255144,410,0.3947921240561495,0.10269689414960685,0.2214544114781655,0.05305362641434558,0.08410083196240255,0.04207649490411532,41
26,1874,3616,25,96.59643435980551,329,0.6785554068220813,0.14724930954473867,0.4934835761342834,0.14315070898015103,0.3292859007680505,0.13675070085542665,41
25,1816,314,25,96.47390691114245,394,0.4444833353663074,0.14060285723691746,0.29392975818100536,0.09139917645424814,0.14810829069310788,0.07812791591385575,41
2,2306,4938,25,95.72368421052632,349,0.6517893446681801,0.14830807724441597,0.43717874294287673,0.12073874291945069,0.2835064801802902,0.1316367048475068,41
15,1864,148,25,96.64516129032258,427,0.4395765854821241,0.11176950737795585,0.285705443251961,0.07497908893639856,0.14259985274183223,0.07249147669524111,41
29,2050,290,25,96.66238767650835,415,0.36985226750842554,0.11210412082658072,0.2504733439002718,0.0730646350194529,0.1055038242887419,0.05600883269002091,41
0,2610,3960,25,95.43795620437956,280,0.5774384928991723,0.1957976571406047,0.4197179703420299,0.18814783341695157,0.25553937618937644,0.20062191328683807,41
7,2030,266,25,96.524064171123,400,0.3879023792833259,0.1152632749087032,0.25305999078543334,0.07267707910454113,0.12152979455891526,0.06070749783506686,41
9,2278,4116,25,96.71361502347418,339,0.6081632107476732,0.13858855051120833,0.43290869025175827,0.10604213604457466,0.2991949846539215,0.12058132908455034,41
3,2426,3874,26,94.93243243243244,323,0.6154201929903594,0.11879258145676064,0.420322689841681,0.11569198533320492,0.2617760375400271,0.14103975002703575,41
34,1894,536,23,96.40062597809077,308,0.3883558849194778,0.09589787490002065,0.22972428700651581,0.052077337961730495,0.09153515168487995,0.03991385257873632,41
23,1824,342,26,96.29156010230179,434,0.39563539900004113,0.1246086682629411,0.25613639314187775,0.07806912845502087,0.1141328028878945,0.063275009663977,41
17,2030,418,25,96.54696132596685,394,0.4056447955941258,0.12136212380121986,0.2778147983012006,0.07478904117312009,0.14505359719236013,0.06446065586441709,41
8,2084,336,25,96.77835051546391,427,0.3990292429871932,0.11729091615756977,0.2594973858675357,0.07739468145999552,0.12139908282933354,0.06617944382674237,41
38,2288,4836,26,95.81464872944693,377,0.5550004038769908,0.060429100180757936,0.3481228485235719,0.0490210545552877,0.18488490598521523,0.0712067582495483,21
11,1474,142,25,96.75675675675676,405,0.40115724900446903,0.11827003432422442,0.25863720679410734,0.07100485092825806,0.125653657419367,0.05434522442804468,41
16,1914,126,25,96.684350132626,411,0.5267262964107696,0.13377627483538668,0.32730398225483376,0.08803567271760557,0.1595599605207743,0.06193656416283031,41
24,2532,5368,26,95.66724436741768,304,0.6432167089658516,0.15469423880029198,0.4588481886285789,0.14405266287502344,0.3215087837028202,0.16833398673663313,41
37,2052,494,26,96.02194787379973,400,0.43319910913523585,0.12616117627244477,0.2700800437296453,0.07415352588838252,0.13133248982019344,0.07067814640358976,41
30,2088,412,25,96.40479360852197,409,0.381311092338561,0.1190692632178996,0.25534928775265936,0.07784984068258492,0.12660852951506643,0.06843824476451021,41
46,1802,222,25,97.25130890052355,435,0.4560299167119035,0.11987778269896113,0.29184492879582574,0.0781778320908846,0.13990599801051873,0.06818392629319692,41
39,698,5506,25,96.11021069692059,337,0.46754008519852613,0.06786173322801621,0.27894844970832283,0.04384952452076351,0.16671425952706706,0.05087113822755191,21
42,1734,562,25,96.2178517397882,376,0.46473270256923455,0.12879515797916738,0.28579746930489325,0.07717489193874842,0.1409028544175724,0.05506750302682607,41
47,1804,268,25,96.66203059805285,399,0.5286289512030471,0.14443280548069704,0.3394676628410686,0.0978459780128231,0.17980338697345719,0.0842414306460931,41
66,1798,412,25,97.09141274238227,415,0.48226754886841555,0.12397415953291806,0.2813630247738435,0.06636636584115732,0.11610116368235329,0.04016452844296252,41
52,2338,4134,25,95.93023255813954,278,0.7105918970819954,0.16780942765629953,0.5028770175750675,0.1443238070794361,0.32570948528899746,0.15905881120443005,41
68,1826,130,25,96.65809768637533,436,0.4428044859695872,0.1201184277377163,0.27716706306158895,0.0766151535540482,0.1358890261398543,0.06949282828321894,41
51,2316,4646,25,95.75221238938053,303,0.666186341477982,0.10910193200361701,0.45844506924461725,0.0977946811617977,0.31070471345050305,0.1131288617468258,41
53,2402,4634,25,96.62261380323055,377,0.6848318045604901,0.08661844855509145,0.4607151203173224,0.08059297586897401,0.31358497470369917,0.08315219327682324,41
71,2008,480,25,96.64335664335664,400,0.45006702119031294,0.12157091948129946,0.2734064866799671,0.07917210393615905,0.1486698675651694,0.06605725759646239,41
43,1736,164,25,96.64335664335664,394,0.492986594832532,0.13316050488117517,0.2969677859372893,0.08007422787484701,0.13474400336953843,0.06496953527659452,41
58,2570,5334,25,96.38989169675091,300,0.7083250096579627,0.11479441605713199,0.5141626017395197,0.10557358897072686,0.37959606493076625,0.14491256821552134,41
72,2032,348,25,96.62337662337663,422,0.4455027028156608,0.12212238847634557,0.28142602536330946,0.0789394555362494,0.14458381417486124,0.06542926820094798,41
48,1886,404,25,96.94019471488178,400,0.4368789255319594,0.13279259588444417,0.2565418004911505,0.0738727761541941,0.10476544600300729,0.05433231639612615,41
55,2440,3924,25,95.31502423263328,325,0.615940272677877,0.12998997015726707,0.41330749405138667,0.11652333632460116,0.24979439025599137,0.13694474752609517,41
40,1476,104,25,95.9214501510574,385,0.4440841189589288,0.16653545494880231,0.28407685333670046,0.11374933760372409,0.14466884389500162,0.08404525574307141,41
63,2300,4118,18,95.3168044077135,166,0.6343172451002596,0.12832552467268385,0.45653220510900067,0.10235680337677543,0.3194724928317984,0.11866384384537013,41
50,2210,3996,25,96.09929078014184,282,0.491712173425042,0.07580017760715492,0.3397566228454006,0.06975474761452659,0.1518282543602548,0.07589654657967558,41
56,2450,5120,25,95.92233009708738,298,0.6904397450937565,0.1780167017063609,0.5061352889628429,0.17896750042926546,0.3640460921146298,0.21797036586277038,41
45,1766,220,25,94.60431654676259,249,0.5731134189690706,0.13620512514247748,0.34650483476173,0.08438741397617756,0.1743836316246297,0.07058996688896549,41
77,2310,4584,25,95.99303135888502,300,0.6533429665127244,0.19087151420958973,0.4624698862413904,0.16350098777015215,0.33089417589738046,0.1770090040419024,41
41,1624,140,25,96.82779456193353,356,0.49728403469265264,0.11205543458513277,0.2951136621951328,0.06503016720627719,0.1798088586241879,0.06117812438927655,41
59,2624,4562,25,95.94594594594595,280,0.7416747482766122,0.1678289387787057,0.5492560740002069,0.16314389767630963,0.3853784192853122,0.19239657594012805,41
76,2264,4806,25,95.71984435797665,279,0.7367230182836648,0.1747829198601178,0.5855634436043864,0.21539688362148116,0.4622964435311945,0.24716842784619622,41
62,2278,4614,18,93.9297124600639,147,0.6978391841611127,0.15582598094498712,0.4904565142086791,0.12145966799928054,0.3620365234173378,0.13391482243524933,41
44,1760,96,25,96.48648648648648,402,0.531879728084675,0.13658314765629054,0.33109766655663,0.09538094285755574,0.16584753345042247,0.08106078449340509,41
49,1984,140,25,96.271637816245,420,0.4591855301933233,0.1300230216032307,0.27466521981923653,0.07766118887249114,0.137414711809089,0.07261855135427644,41
75,2100,172,25,96.73202614379085,426,0.45339323815272436,0.13340110240622524,0.27372282131523373,0.08240284511341302,0.11827125550683486,0.055022658439866035,41
69,1842,140,25,96.75745784695201,420,0.43003418614584166,0.11477366051700032,0.27820384481904703,0.07780302651992438,0.13872594167606547,0.07368865069590139,41
54,2438,5132,25,95.86466165413533,295,0.6912693330597388,0.16753809614389253,0.5013196804133916,0.1740616332150699,0.36914049953795147,0.21004491550308205,41
57,2502,5134,25,95.2127659574468,273,0.7319615883903245,0.11095916569222422,0.5221474410444433,0.10141087290122355,0.34515587564650557,0.12345416571776496,41
70,2000,446,25,96.08127721335269,388,0.4643031072413468,0.1352266518225923,0.28515990659132334,0.07190692134805877,0.14658928053211884,0.05943324699758377,41
73,2060,306,25,96.86274509803921,407,0.38397871360814223,0.11185972667291177,0.24910803319859473,0.06852380639825068,0.10167884633967116,0.05015981892205563,41
65,1440,5360,25,96.54631083202511,334,0.49725738223747895,0.08260313726447335,0.2830200313141691,0.04376070713303445,0.06304231775918867,0.027538385908428324,21
61,2744,5132,23,95.53752535496957,255,0.6998322066119105,0.1635478160787378,0.5283455461233262,0.19607653005603248,0.37753859695383385,0.21437702380318244,41
67,1802,118,25,96.3611859838275,427,0.4616930101338616,0.12169586469671798,0.27970202690964446,0.0758586188616806,0.1341107754486781,0.0685135207100952,41
74,2066,444,25,96.55172413793103,364,0.3917454013583857,0.11821863920312738,0.2548345451390915,0.06845666631482802,0.12718555539546966,0.06029139527351273,41
60,3880,4764,25,95.77735124760076,297,0.6255961582227376,0.08087992147773407,0.3906267571912785,0.05673033921022833,0.13484163071948818,0.05770808702277634,21
64,2070,346,26,97.14625445897741,489,0.3894136299466873,0.0982247806298527,0.2546913690266685,0.06422491033033852,0.12174001046943508,0.058251341215219916,41
78,2334,4664,25,95.88235294117646,248,0.6653290709562831,0.15027806612414082,0.4777834269679129,0.13287918541093724,0.32889841069243997,0.14303310395247637,41
79,2410,3946,25,96.14740368509213,311,0.5153872550197853,0.0706306744380651,0.3343630256273695,0.052252482178681045,0.1718423616494243,0.05245122501222079,41
80,2444,5516,25,95.3091684434968,241,0.6680786090029437,0.11753925795209721,0.4132013514331982,0.10423965459829256,0.20730408635226438,0.11141117380378891,41
81,2456,4632,25,95.82608695652173,345,0.6708815402276863,0.1437686361314994,0.4902973146340169,0.14969493338980966,0.34247610910053905,0.1531050366794965,41
87,2760,4330,23,95.87242026266416,297,0.7831660182059024,0.07638856304160847,0.568474187937882,0.0739014777634942,0.4089876730821377,0.09138882055628905,41
