i,x,y,radius,DifPointsPercent,PixelsWithin,Mean_ndvi,Std_ndvi,Mean_savi,Std_savi,Mean_amplitude,Std_amplitude,Mode_lulc
36,4760,4308,25,95.73070607553366,300,0.577360782067606,0.0774739690057031,0.33401206835564073,0.0397752629753735,0.1831748877851762,0.033711380289482396,21
7,6140,7590,24,96.13601236476043,328,0.6692548495300644,0.1858994189265731,0.45843901865637454,0.14754543352404428,0.29854429797398935,0.1413404876689766,20
17,6150,7648,25,96.27906976744185,356,0.5291348256206554,0.19879116487630216,0.313517819697834,0.13362784323017407,0.1572561531627527,0.10572320707641765,20
21,6170,7596,22,95.8955223880597,283,0.5942660744273432,0.15374039811028442,0.3917973531276901,0.11539851548225956,0.2399837887142823,0.11027787755425711,20
26,4634,4392,23,95.41595925297113,320,0.6433843932912886,0.09001837131074977,0.4170784481109131,0.05692695718950564,0.26444890810208077,0.05646482634933423,21
20,6194,7384,23,96.33507853403141,303,0.4996499694971209,0.13753902449800703,0.3311086293995715,0.08973071575293516,0.15137929969104327,0.08645834266463207,41
19,6106,7432,24,96.14147909967846,330,0.7258254193798769,0.09889662562376825,0.5279732457748959,0.09666381966383053,0.38695465733298484,0.11097352558904404,41
6,6118,7480,25,95.11754068716094,292,0.744657927501561,0.11245693598602656,0.5415185917447154,0.09088508743667573,0.36733920327332825,0.10997799139713225,41
25,862,5160,23,95.51934826883911,243,0.7202836118566327,0.10534672251509031,0.4873350252839511,0.10057279551012625,0.3366277410417476,0.09827566095435568,21
0,5870,1184,25,97.03808180535967,388,0.4746372254981178,0.07029115405889769,0.2905461306575085,0.04134389319506043,0.15316294610513356,0.036078229787802035,21
10,6016,7494,25,95.88138385502471,301,0.7555871582948245,0.13004640742281698,0.5378587381731901,0.11622789579190342,0.3292478581212028,0.12415903541920795,41
23,6080,7646,25,96.31979695431473,410,0.6431533552676947,0.16092975915435181,0.43867071233966454,0.12584574692447975,0.2780381904458468,0.12273254481838378,20
13,3494,4920,25,95.90316573556797,267,0.6770383398402149,0.07405652660512911,0.43668432511607336,0.05220551113340188,0.29607133064768937,0.047153684931495556,21
34,4622,4288,25,96.06164383561644,308,0.632095338639186,0.12048732051738219,0.40671701063985854,0.07158581862484337,0.25348083553498046,0.06701623763704476,21
18,6016,7696,24,96.44760213143873,314,0.6634096670772693,0.19081485774606272,0.43874182858142907,0.14589633687156817,0.303786895163111,0.14964713256832826,20
16,6108,7598,25,96.50455927051672,349,0.7170917442554259,0.13362632989021667,0.49496572359244134,0.12348511641068528,0.31582902471322116,0.12783424471610952,41
35,4742,4642,25,96.42857142857143,312,0.5635227899121218,0.10105648160095983,0.34388096760771275,0.05550284170493345,0.20125395851840405,0.050080765610869944,21
27,2866,4996,22,95.4070981210856,231,0.7897339020520698,0.12198100592522781,0.5746234426834832,0.11446786426856005,0.42850793635901696,0.11243227790662098,21
4,6132,7418,22,95.90017825311944,296,0.7299619420772814,0.12624296315079084,0.520530362868535,0.11854947540985848,0.3739030309025628,0.12526537509528493,41
3,6158,7382,23,95.53072625698324,274,0.6396089049397167,0.09712960881728293,0.4300142850485582,0.08997599292625628,0.27825428240764877,0.11129762983919386,41
2,6108,7412,25,96.93877551020408,393,0.7560808307195449,0.10037193161444351,0.5615850577986152,0.0930344670255122,0.4188213013617062,0.1033090827075846,41
11,6084,7580,25,96.11197511664075,357,0.6985059912390145,0.14125374706450428,0.47848970622032583,0.12068417953902441,0.309074719426295,0.12116679723018996,41
37,4988,4038,25,96.05263157894737,278,0.7630739672937056,0.08333251082839577,0.506170518445677,0.06865343919802645,0.3505474479438541,0.07423769033470458,21
31,486,4726,25,95.99303135888502,300,0.6083207492122176,0.08240534851268562,0.3961869034771317,0.055390412509615475,0.23234937952928222,0.05510216927933692,21
28,3942,4388,22,96.04810996563575,291,0.752966918645461,0.06411779562716168,0.46120887771207264,0.041154760873285734,0.29297510386178166,0.04215132575251475,21
38,6138,7436,25,96.3758389261745,407,0.6955087798008391,0.11749980913040298,0.4838063721054764,0.10465882718600093,0.34433022623514703,0.1080364015799514,41
29,4586,3966,22,95.54263565891473,264,0.6841924109574609,0.07282454247967672,0.41744708183818335,0.03955348198516806,0.2659046467179635,0.03605941452891643,21
15,6030,7574,25,96.25520110957004,426,0.6300111458766612,0.1308839323204304,0.44201749759816145,0.10413229483025394,0.2645391581971451,0.10076273563258806,41
32,896,5270,25,96.08177172061329,302,0.6153093188441232,0.09331925335119777,0.3961639724323561,0.0641566801357603,0.23501870896733967,0.06450708124223223,21
8,6164,7514,24,96.15931721194879,391,0.6651869601992041,0.15243436110080993,0.46135054209753906,0.12276116075502214,0.23475625869273448,0.11939337614262982,41
12,6114,7616,25,96.38888888888889,399,0.7095017276343012,0.14195819988499006,0.4920603488732655,0.11863106913003546,0.29257041623416347,0.11788833381173439,41
24,4806,4388,24,96.50959860383944,287,0.5237808203652241,0.0851628372101144,0.31913528746307485,0.04609516754401521,0.17372001724063874,0.0320090286626908,21
22,4606,3968,25,96.24277456647398,374,0.6313450035633817,0.10819972681658914,0.3967692271076784,0.06047468367679113,0.24769338498981616,0.05337078260730816,21
1,980,5214,25,96.4968152866242,358,0.6810021642359546,0.09284477718865486,0.4427995634956514,0.08434678949265331,0.28563755688161085,0.07643464415351864,21
33,1688,3866,25,96.82299546142208,345,0.4654260805701001,0.11325346764253416,0.30188585586061434,0.062209923211342624,0.16395733608669358,0.05730499770355869,21
14,4964,4522,25,95.89041095890411,361,0.7754893551986256,0.06284918450307045,0.5013416251627417,0.05155126434752049,0.36139587754958996,0.05064458108569406,21
5,3608,4800,25,95.98214285714286,383,0.7509453853388028,0.06355073462749321,0.4860408767803937,0.06333641074129102,0.34246889196170266,0.0738433899149332,21
9,4702,4578,25,96.52777777777777,399,0.6298796748453585,0.07093842220089504,0.377286409943736,0.038856970989305344,0.22718982356846618,0.0347907019772341,21
30,426,5392,25,95.62841530054645,299,0.6044474339292475,0.08676025383375673,0.4073443286749097,0.06499351482194751,0.2312440136313282,0.06690671035415507,21
46,978,4890,22,93.76443418013857,189,0.7086185200115986,0.08532413209907251,0.45957479217467334,0.059071368257098744,0.30286256822290464,0.05318437750346234,21
45,6146,7454,23,96.3076923076923,341,0.7067601276349803,0.11409528049713225,0.4920130807076225,0.10342863915320435,0.34962878041140344,0.09670870385932319,41
43,6032,7634,24,95.6043956043956,324,0.645337719349072,0.14659746174183277,0.41516157796449227,0.11797044853146287,0.2725838992932617,0.10491688876506632,20
40,4584,4010,24,96.57853810264386,343,0.6433015303165494,0.0900522070651923,0.3882103520131572,0.05120496604378559,0.230717287075261,0.0463217384677749,21
51,3888,4860,25,95.87458745874588,310,0.5645007033205387,0.08375267555494763,0.36162345802070484,0.05506054009133314,0.20946386373162842,0.04727376016457146,21
47,578,4706,25,96.15384615384616,377,0.6095690505636889,0.07415387021773107,0.40894941396461193,0.04576603687494436,0.25022793990548076,0.04468716954245476,21
39,832,5230,24,95.95782073813709,292,0.6605816458205691,0.1233720533957233,0.43932042155328754,0.09554298050643084,0.2798758418189923,0.09670316132675613,21
41,4886,4148,24,96.05026929982047,293,0.757288787224168,0.091963500625098,0.5027739663047647,0.07356095118811799,0.3673903043155735,0.0782472112187156,21
68,4684,4556,24,96.25748502994011,352,0.6431367552713199,0.0617303442535706,0.38429515685522575,0.0374318465079388,0.23064819862824573,0.03251669924483545,21
49,3498,4942,25,95.91503267973856,330,0.6520492964798106,0.08949293900855786,0.418469715848819,0.07072713202726326,0.2831721183005354,0.06744061217158694,21
65,4598,4368,24,95.9322033898305,317,0.6670612298138352,0.10339296031259225,0.4334676516528177,0.06541420734945458,0.2795103936333636,0.06815122334378959,21
54,4946,4042,25,96.19047619047619,339,0.7584386447232173,0.09232553385530891,0.5019994483159691,0.08040779417599973,0.35641126256548405,0.07929717704396985,21
56,5720,1078,25,96.58385093167702,328,0.39405885000268465,0.07267715534693109,0.25780579446444296,0.03683466099612569,0.1216372001042216,0.0350453733777958,21
57,5760,1152,25,95.84086799276673,272,0.3944955751293348,0.07382441119896968,0.2640062403462765,0.03848645401521956,0.12604850836915188,0.04329352707972501,21
42,5768,1052,24,95.48736462093864,286,0.4107201234918335,0.08171351307610558,0.2611938567725851,0.03606577142991356,0.12510088976263606,0.03695254672599078,21
58,6142,7278,25,96.57320872274143,349,0.7030073106419108,0.09654166684321606,0.4847856251341435,0.09106418521335004,0.32014713771299486,0.09171666402489724,41
69,4996,3892,24,95.17374517374517,266,0.6642349963056653,0.09931598281539879,0.4315298209559631,0.05937722806536342,0.29038392185096973,0.05318294876722521,21
55,5494,1046,25,95.64489112227805,318,0.33484809809556015,0.066395065464748,0.23790408743813132,0.036954118140390284,0.11161165658096499,0.04133531059530529,21
50,3534,4934,25,96.46869983948636,353,0.6606505466970933,0.08441641499205173,0.4320283486312943,0.06306868242670476,0.2852400625153054,0.06471987318970183,21
66,4654,4282,24,95.99303135888502,296,0.6711089137672872,0.11583054898700404,0.44137487724556895,0.0866955095736887,0.29555297680884135,0.08429261374609832,21
64,3678,1646,24,95.26315789473684,295,0.4935618897251001,0.17778613564667178,0.33762009274996096,0.11995561772023978,0.20197979690667764,0.1076068931384578,21
60,840,5204,24,95.22900763358778,276,0.5792503763571599,0.10967540203016365,0.37256804223838474,0.07938189969761764,0.21714129041439517,0.07876047081552003,21
62,1398,972,24,96.44670050761421,253,0.5786977045129122,0.14215736048078856,0.42827167807744954,0.09040285283497708,0.2707236375183724,0.08744505445435287,41
61,928,5186,24,95.38745387453875,289,0.5892317421393595,0.10529622139655265,0.3806485949836773,0.07567699047401197,0.2372118392638697,0.07554305223743528,21
63,1760,3812,24,96.41185647425897,337,0.4538696478808168,0.09366709791534827,0.28392327168340786,0.0492384740421511,0.16249271290432107,0.04364520833491949,21
52,4024,4384,25,95.72649572649573,362,0.7689995740557821,0.06233299323833669,0.48865450095172114,0.048669839524721245,0.3206604966277793,0.0485128661695793,21
53,4566,4332,25,96.1820851688693,379,0.6175626085842474,0.12490542208592113,0.38965163119186114,0.07206021865311395,0.23716233658342709,0.06398206466293775,21
